Date	Title	Link	Journal	Co-author(s)
2015年1月26日 	A NEW CRITERION FOR THE ROUGHNESS OF EXPONENTIAL DICHOTOMY ON R 	http://mat76.mat.uni-miskolc.hu/mnotes/contents/16/2 	Miskolc Mathematical Notes 	Petro Feketa 
2016年9月18日 	Symmetry breaking operators for the indefinite orthogonal groups O(p,q) 	https://docs.google.com/viewer?a=v&pid=sites&srcid=ZGVmYXVsdGRvbWFpbnxhbGV4bGVvbnRpZXZ0b2RhaXxneDo0ZjI3MjNlMTdmNDdjYjY3 	Abstract of the Geometry Session at the MSJ 2016 Autumn Meeting 	Toshiyuki Kobayashi 
2017年3月26日 	Symmetry breaking operators for conformal transformation groups O(p,q) 	https://docs.google.com/viewer?a=v&pid=sites&srcid=ZGVmYXVsdGRvbWFpbnxhbGV4bGVvbnRpZXZ0b2RhaXxneDoyMGNhYTE4YmYzMTdmN2Nj 	Abstract Book of MSJ Spring Meeting 2017 at Tokyo Metropolitan University 	Toshiyuki Kobayashi 
2017年9月12日 	Symmetry breaking operators for the restriction of representations of indefinite orthogonal groups O(p,q) 	https://projecteuclid.org/euclid.pja/1506996023 	Proceedings of the Japan Academy, Series A, Mathematical Sciences 	Toshiyuki Kobayashi 
