Date	Title	Link	Journal
2016年11月30日 	Symmetry breaking operators for representations of indefinite orthogonal groups O(p, q) 	https://docs.google.com/viewer?a=v&pid=sites&srcid=ZGVmYXVsdGRvbWFpbnxhbGV4bGVvbnRpZXZ0b2RhaXxneDozMGU5NGI5MmFjNWE5MjJh 	Symposium on Representation Theory 2016, pp. 39–52 
2016年9月18日 	Symmetry breaking of conformal transformation group O(p, q) 	https://docs.google.com/viewer?a=v&pid=sites&srcid=ZGVmYXVsdGRvbWFpbnxhbGV4bGVvbnRpZXZ0b2RhaXxneDozNGE3MzQ0MjExYzQ1OGFm 	日本数学会 2017 年度年会 函数解析学分科会 講演アブストラクト 
