目撃	witness	もくげき
判断	judgement	はんだん
見逃す	to overlook	みのがす
行方	whereabouts	ゆくえ
未だに	still	いまだに
過失	negligence	かしつ
誤る	to make a mistake	あやまる
もめる	to argue	
予期	prediction	よき
流す	to flow	ながす
爆発	explosion	ばくはつ
火災	fire	かさい
消防車	fire engine	しょうぼうしゃ
少なくとも	at least	すくなくとも
救助	rescue	きゅうじょ
政策	policy	せいさく
治める	to govern	おさめる
政党	political party	せいとう
