しかも	moreover	
また	and	
それでも	even then	
そうはいっても	having said that	
それにしては	considering, despite that	
一方	meanwhile	いっぽう
ただ	just	
ただし	provided, however	
なお	in addition, additionally	
または	or	
それとも	or	
ところで	by the way	
さて	now	
それでは	well	
