ACM Transactions on the Web (TWEB)	ジャーナル	Leon	アブストのみ	主にWebについて、あまり関係がない	4.00	5.33		完了				
American Journal of Geographic Information System	ジャーナル	Leon	完全無料	主にテクニカル問題の話、あまり関係がない			分析よりも測位技術やシステムの技術などが中心か	完了	完了	完了	完了	完了
Applied Geography	ジャーナル	Leon	アブストのみ	応用の話、あまり関係がない	11.00	11.86		完了	完了	完了		
Computers, Environment and Urban Systems	ジャーナル	Leon	アブストのみ	少し関係がある	6.00	20.83		完了				
Geophysical Journal International	ジャーナル	Leon	アブストのみ		13	43.23	is one of the world's leading primary research journals in geophysics.	着手				
GPS Solutions	ジャーナル	Leon	時々無料	テクニカル問題に関する論文が多い（GPSシグナルの正確さ、トラッキングなど）	4.00	30.50		完了				
